round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,4,0,7,0,0.3636,1.0,0.0,0.5333,0.1786
3,5,0,6,0,0.4545,1.0,0.0,0.625,0.3333
4,2,0,9,0,0.1818,1.0,0.0,0.3077,0.3333
5,4,0,7,0,0.3636,1.0,0.0,0.5333,0.2857
6,1,0,10,0,0.0909,1.0,0.0,0.1667,0.6
7,3,0,8,0,0.2727,1.0,0.0,0.4286,0.25
8,5,0,6,0,0.4545,1.0,0.0,0.625,0.0
9,2,0,9,0,0.1818,1.0,0.0,0.3077,0.3333
10,4,0,7,0,0.3636,1.0,0.0,0.5333,0.0
11,1,0,10,0,0.0909,1.0,0.0,0.1667,0.4
12,5,0,6,0,0.4545,1.0,0.0,0.625,0.3333
13,2,0,9,0,0.1818,1.0,0.0,0.3077,0.0
14,4,0,7,0,0.3636,1.0,0.0,0.5333,0.5357
15,5,0,6,0,0.4545,1.0,0.0,0.625,0.3
16,4,0,7,0,0.3636,1.0,0.0,0.5333,0.4286
17,2,0,9,0,0.1818,1.0,0.0,0.3077,0.3333
18,1,0,10,0,0.0909,1.0,0.0,0.1667,0.1
19,2,0,9,0,0.1818,1.0,0.0,0.3077,0.2778
20,2,0,9,0,0.1818,1.0,0.0,0.3077,0.3333
21,4,0,7,0,0.3636,1.0,0.0,0.5333,0.7143
22,1,0,10,0,0.0909,1.0,0.0,0.1667,0.3
23,6,0,5,0,0.5455,1.0,0.0,0.7059,0.3667
24,3,0,8,0,0.2727,1.0,0.0,0.4286,0.25
25,1,0,10,0,0.0909,1.0,0.0,0.1667,0.2
26,2,0,9,0,0.1818,1.0,0.0,0.3077,0.5556
27,1,0,10,0,0.0909,1.0,0.0,0.1667,0.5
28,1,0,10,0,0.0909,1.0,0.0,0.1667,0.6
29,2,0,9,0,0.1818,1.0,0.0,0.3077,0.3333
30,1,0,10,0,0.0909,1.0,0.0,0.1667,0.4
31,2,0,9,0,0.1818,1.0,0.0,0.3077,0.3333
32,3,0,8,0,0.2727,1.0,0.0,0.4286,0.375
33,4,0,7,0,0.3636,1.0,0.0,0.5333,0.1429
34,4,0,7,0,0.3636,1.0,0.0,0.5333,0.4286
35,2,0,9,0,0.1818,1.0,0.0,0.3077,0.4444
36,4,0,7,0,0.3636,1.0,0.0,0.5333,0.5357
38,4,0,7,0,0.3636,1.0,0.0,0.5333,0.2857
39,4,0,7,0,0.3636,1.0,0.0,0.5333,0.1429
40,1,0,10,0,0.0909,1.0,0.0,0.1667,0.3
41,3,0,8,0,0.2727,1.0,0.0,0.4286,0.375
42,3,0,8,0,0.2727,1.0,0.0,0.4286,0.375
43,2,0,9,0,0.1818,1.0,0.0,0.3077,0.2222
44,2,0,9,0,0.1818,1.0,0.0,0.3077,0.3333
45,2,0,9,0,0.1818,1.0,0.0,0.3077,0.2222
46,6,0,5,0,0.5455,1.0,0.0,0.7059,0.4
47,4,0,7,0,0.3636,1.0,0.0,0.5333,0.2143
48,1,0,10,0,0.0909,1.0,0.0,0.1667,0.3
49,3,0,8,0,0.2727,1.0,0.0,0.4286,0.25
50,3,0,8,0,0.2727,1.0,0.0,0.4286,0.6667
51,3,0,8,0,0.2727,1.0,0.0,0.4286,0.2917
52,5,0,6,0,0.4545,1.0,0.0,0.625,0.1667
53,6,0,5,0,0.5455,1.0,0.0,0.7059,0.2
54,2,0,9,0,0.1818,1.0,0.0,0.3077,0.3333
55,2,0,9,0,0.1818,1.0,0.0,0.3077,0.5
56,4,0,7,0,0.3636,1.0,0.0,0.5333,0.4286
57,3,0,8,0,0.2727,1.0,0.0,0.4286,0.375
58,2,0,9,0,0.1818,1.0,0.0,0.3077,0.4444
59,4,0,7,0,0.3636,1.0,0.0,0.5333,0.4286
60,3,0,8,0,0.2727,1.0,0.0,0.4286,0.25
61,3,0,8,0,0.2727,1.0,0.0,0.4286,0.4167
62,3,0,8,0,0.2727,1.0,0.0,0.4286,0.25
63,3,0,8,0,0.2727,1.0,0.0,0.4286,0.125
64,3,0,8,0,0.2727,1.0,0.0,0.4286,0.25
66,3,0,8,0,0.2727,1.0,0.0,0.4286,0.375
67,3,0,8,0,0.2727,1.0,0.0,0.4286,0.375
68,2,0,9,0,0.1818,1.0,0.0,0.3077,0.1111
69,2,0,9,0,0.1818,1.0,0.0,0.3077,0.4444
70,2,0,9,0,0.1818,1.0,0.0,0.3077,0.3333
71,2,0,9,0,0.1818,1.0,0.0,0.3077,0.3333
72,5,0,6,0,0.4545,1.0,0.0,0.625,0.3333
73,3,0,8,0,0.2727,1.0,0.0,0.4286,0.4167
74,1,0,10,0,0.0909,1.0,0.0,0.1667,0.4
75,8,0,3,0,0.7273,1.0,0.0,0.8421,0.3333
76,2,0,9,0,0.1818,1.0,0.0,0.3077,0.2222
77,3,0,8,0,0.2727,1.0,0.0,0.4286,0.375
78,4,0,7,0,0.3636,1.0,0.0,0.5333,0.4286
79,4,0,7,0,0.3636,1.0,0.0,0.5333,0.4286
80,2,0,9,0,0.1818,1.0,0.0,0.3077,0.4444
81,5,0,6,0,0.4545,1.0,0.0,0.625,0.4333
82,2,0,9,0,0.1818,1.0,0.0,0.3077,0.3889
83,1,0,10,0,0.0909,1.0,0.0,0.1667,0.4
84,2,0,9,0,0.1818,1.0,0.0,0.3077,0.5556
85,3,0,8,0,0.2727,1.0,0.0,0.4286,0.5833
86,3,0,8,0,0.2727,1.0,0.0,0.4286,0.25
87,2,0,9,0,0.1818,1.0,0.0,0.3077,0.2222
88,3,0,8,0,0.2727,1.0,0.0,0.4286,0.2083
89,2,0,9,0,0.1818,1.0,0.0,0.3077,0.3333
90,2,0,9,0,0.1818,1.0,0.0,0.3077,0.2222
91,5,0,6,0,0.4545,1.0,0.0,0.625,0.3
92,1,0,10,0,0.0909,1.0,0.0,0.1667,0.2
94,3,0,8,0,0.2727,1.0,0.0,0.4286,0.375
95,4,0,7,0,0.3636,1.0,0.0,0.5333,0.2143
97,5,0,6,0,0.4545,1.0,0.0,0.625,0.4333
98,4,0,7,0,0.3636,1.0,0.0,0.5333,0.2857
99,3,0,8,0,0.2727,1.0,0.0,0.4286,0.1667
100,4,0,7,0,0.3636,1.0,0.0,0.5333,0.4286
101,2,0,9,0,0.1818,1.0,0.0,0.3077,0.4444
102,6,0,5,0,0.5455,1.0,0.0,0.7059,0.2
103,4,0,7,0,0.3636,1.0,0.0,0.5333,0.3571
104,5,0,6,0,0.4545,1.0,0.0,0.625,0.3667
105,2,0,9,0,0.1818,1.0,0.0,0.3077,0.2222
106,1,0,10,0,0.0909,1.0,0.0,0.1667,0.4
107,1,0,10,0,0.0909,1.0,0.0,0.1667,0.3
109,2,0,9,0,0.1818,1.0,0.0,0.3077,0.2222
110,2,0,9,0,0.1818,1.0,0.0,0.3077,0.2222
111,2,0,9,0,0.1818,1.0,0.0,0.3077,0.3333
112,1,0,10,0,0.0909,1.0,0.0,0.1667,0.3
113,1,0,10,0,0.0909,1.0,0.0,0.1667,0.2
114,2,0,9,0,0.1818,1.0,0.0,0.3077,0.3333
115,3,0,8,0,0.2727,1.0,0.0,0.4286,0.3333
116,3,0,8,0,0.2727,1.0,0.0,0.4286,0.25
117,4,0,7,0,0.3636,1.0,0.0,0.5333,0.3571
118,4,0,7,0,0.3636,1.0,0.0,0.5333,0.4286
119,4,0,7,0,0.3636,1.0,0.0,0.5333,0.2857
120,5,0,6,0,0.4545,1.0,0.0,0.625,0.1667
121,3,0,8,0,0.2727,1.0,0.0,0.4286,0.3333
122,1,0,10,0,0.0909,1.0,0.0,0.1667,0.4
123,2,0,9,0,0.1818,1.0,0.0,0.3077,0.3889
124,6,0,5,0,0.5455,1.0,0.0,0.7059,0.0
125,4,0,7,0,0.3636,1.0,0.0,0.5333,0.2857
126,4,0,7,0,0.3636,1.0,0.0,0.5333,0.4286
128,7,0,4,0,0.6364,1.0,0.0,0.7778,0.0
129,3,0,8,0,0.2727,1.0,0.0,0.4286,0.25
130,3,0,8,0,0.2727,1.0,0.0,0.4286,0.1667
131,2,0,9,0,0.1818,1.0,0.0,0.3077,0.2222
132,2,0,9,0,0.1818,1.0,0.0,0.3077,0.2222
133,3,0,8,0,0.2727,1.0,0.0,0.4286,0.2917
134,4,0,7,0,0.3636,1.0,0.0,0.5333,0.1429
135,2,0,9,0,0.1818,1.0,0.0,0.3077,0.2222
136,4,0,7,0,0.3636,1.0,0.0,0.5333,0.2143
137,3,0,8,0,0.2727,1.0,0.0,0.4286,0.25
138,6,0,5,0,0.5455,1.0,0.0,0.7059,0.4
139,2,0,9,0,0.1818,1.0,0.0,0.3077,0.4444
140,2,0,9,0,0.1818,1.0,0.0,0.3077,0.4444
141,5,0,6,0,0.4545,1.0,0.0,0.625,0.2667
142,7,0,4,0,0.6364,1.0,0.0,0.7778,0.25
143,2,0,9,0,0.1818,1.0,0.0,0.3077,0.2222
144,2,0,9,0,0.1818,1.0,0.0,0.3077,0.2222
145,5,0,6,0,0.4545,1.0,0.0,0.625,0.3333
146,5,0,6,0,0.4545,1.0,0.0,0.625,0.4333
147,3,0,8,0,0.2727,1.0,0.0,0.4286,0.0833
148,2,0,9,0,0.1818,1.0,0.0,0.3077,0.3333
149,3,0,8,0,0.2727,1.0,0.0,0.4286,0.4583
150,3,0,8,0,0.2727,1.0,0.0,0.4286,0.375
151,3,0,8,0,0.2727,1.0,0.0,0.4286,0.375
152,3,0,8,0,0.2727,1.0,0.0,0.4286,0.25
153,3,0,8,0,0.2727,1.0,0.0,0.4286,0.25
154,4,0,7,0,0.3636,1.0,0.0,0.5333,0.5
155,3,0,8,0,0.2727,1.0,0.0,0.4286,0.25
156,2,0,9,0,0.1818,1.0,0.0,0.3077,0.2778
157,3,0,8,0,0.2727,1.0,0.0,0.4286,0.75
158,1,0,10,0,0.0909,1.0,0.0,0.1667,0.0
159,4,0,7,0,0.3636,1.0,0.0,0.5333,0.5714
160,3,0,8,0,0.2727,1.0,0.0,0.4286,0.375
161,2,0,9,0,0.1818,1.0,0.0,0.3077,0.3333
162,4,0,7,0,0.3636,1.0,0.0,0.5333,0.1429
163,4,0,7,0,0.3636,1.0,0.0,0.5333,0.2857
164,4,0,7,0,0.3636,1.0,0.0,0.5333,0.6429
165,5,0,6,0,0.4545,1.0,0.0,0.625,0.5
167,3,0,8,0,0.2727,1.0,0.0,0.4286,0.5
168,1,0,10,0,0.0909,1.0,0.0,0.1667,0.3
169,2,0,9,0,0.1818,1.0,0.0,0.3077,0.5556
170,2,0,9,0,0.1818,1.0,0.0,0.3077,0.4444
171,2,0,9,0,0.1818,1.0,0.0,0.3077,0.3333
172,3,0,8,0,0.2727,1.0,0.0,0.4286,0.3333
173,2,0,9,0,0.1818,1.0,0.0,0.3077,0.2222
174,5,0,6,0,0.4545,1.0,0.0,0.625,0.4667
175,4,0,7,0,0.3636,1.0,0.0,0.5333,0.2143
176,2,0,9,0,0.1818,1.0,0.0,0.3077,0.2222
177,2,0,9,0,0.1818,1.0,0.0,0.3077,0.2222
178,4,0,7,0,0.3636,1.0,0.0,0.5333,0.2143
179,2,0,9,0,0.1818,1.0,0.0,0.3077,0.2222
180,1,0,10,0,0.0909,1.0,0.0,0.1667,0.2
181,4,0,7,0,0.3636,1.0,0.0,0.5333,0.0
182,2,0,9,0,0.1818,1.0,0.0,0.3077,0.1667
183,6,0,5,0,0.5455,1.0,0.0,0.7059,0.2
184,2,0,9,0,0.1818,1.0,0.0,0.3077,0.5556
185,3,0,8,0,0.2727,1.0,0.0,0.4286,0.25
186,2,0,9,0,0.1818,1.0,0.0,0.3077,0.3333
187,5,0,6,0,0.4545,1.0,0.0,0.625,0.3333
188,3,0,8,0,0.2727,1.0,0.0,0.4286,0.2083
189,4,0,7,0,0.3636,1.0,0.0,0.5333,0.1786
190,2,0,9,0,0.1818,1.0,0.0,0.3077,0.3333
191,4,0,7,0,0.3636,1.0,0.0,0.5333,0.3571
192,3,0,8,0,0.2727,1.0,0.0,0.4286,0.25
193,2,0,9,0,0.1818,1.0,0.0,0.3077,0.5
194,7,0,4,0,0.6364,1.0,0.0,0.7778,0.25
195,2,0,9,0,0.1818,1.0,0.0,0.3077,0.2222
196,3,0,8,0,0.2727,1.0,0.0,0.4286,0.25
197,1,0,10,0,0.0909,1.0,0.0,0.1667,0.3
198,5,0,6,0,0.4545,1.0,0.0,0.625,0.3333
199,3,0,8,0,0.2727,1.0,0.0,0.4286,0.4583
200,2,0,9,0,0.1818,1.0,0.0,0.3077,0.3333
201,3,0,8,0,0.2727,1.0,0.0,0.4286,0.1667
202,1,0,10,0,0.0909,1.0,0.0,0.1667,0.6
203,1,0,10,0,0.0909,1.0,0.0,0.1667,0.5
204,3,0,8,0,0.2727,1.0,0.0,0.4286,0.25
205,1,0,10,0,0.0909,1.0,0.0,0.1667,0.4
